Name,Notes,Address,State,UID,Latitude,Longitude,img,no_img
花菓宮 • 大聖佛祖,,"Jalan Jambu 28, Taman Muhibbah, 81400 Kulai, Johor",Johor,A106,1.6226635,103.6219731,,
古來真空祖師道堂,,,Johor,A107,0,0,,
古来沙岭新村關帝亭,,,Johor,A108,0,0,,
玉皇協天大帝,,"Johor, Kulai, Jalan Sekolah Cina  81000, Johor",Johor,A109,1.657988,103.6035258,,
善莲堂（观音堂）,,,Johor,A110,0,0,,
真佛宗 敬佛堂,,"6035, Jalan Persiaran Indahpura 3, Bandar Indahpura, 81000 Kulai, Johor",Johor,A111,1.6545995,103.596563,,
龍巖廟 （ 太上老君 ）,,,Johor,A112,0,0,,
雲山宮 / 南海慈航宫,,"Lorong 2, Kulai",Johor,A113,1.6494801,103.6131956,,
柔佛州道教協會,,"No :15，Jalan Indah 3, Taman Sawit Indah, 81000 Kulai, Johor",Johor,A114,1.6731345,103.5253689,,
新山噶瑪噶舉佛教會,是一間藏傳佛堂,"19, Jalan Molek 3/19, Taman Molek, 81100 Johor Bahru, Johor",Johor,A115,1.5190143,103.7875563,,
中元天帝宮ChineseTemple,,"15, Jalan Bakawali 48, Johor Jaya, 81100 Johor Bahru, Johor",Johor,A116,1.5408575,103.7964974,,
三合宮ChineseTemple,,"Jalan Dedap 30, Johor Jaya, 81100 Johor Bahru, Johor",Johor,A117,1.5404928,103.7993893,,
天公壇 Taoist Temple,,"Taman Johor Jaya, 81100 Johor Bahru, Johor",Johor,A118,1.535573,103.7978201,,
福林园济圣宫,,"Jalan Sagu 35, Taman Daya, 81100 Johor Bahru, Johor",Johor,A119,1.5487351,103.7636737,,
阿依淡大伯公Tokong Air Hitam,,"Jalan Parit Haji Adnan, 82100 Ayer Baloi, Johor",Johor,A120,1.582082,103.4318283,,
善才爷Nam Thien Temple,,"Jalan Dato Koh Thian Peng, Parit Unas, Johor, 84150 Muar, Johor",Johor,A121,1.9855531,102.6008273,,
仙公山,,"Parit Bakar, 84200 Muar, Johor",Johor,A122,2.034846,102.7364962,,
巴口真人宫,,"Jalan Muar, 84200 Bukit Bakri, Johor",Johor,A123,2.03657,102.659988,,
白凤仙师宫,,"84200 Bukit Bakri, Johor",Johor,A124,2.041668,102.657731,,
天安堂•准提菩萨,,"Taman Bakri Indah, 84200 Bukit Bakri, Johor",Johor,A125,2.0390669,102.6575074,,
廻龍舘,此庙建于1946年，有74年历史,"Johor, Bukit Bakri, Jalan Muar, No 14 邮政编码: 84200",Johor,A126,2.0408434,102.6571281,,
白马老师公庙,,"Jln Padang, Bukit Bakri, 84200 Bukit Bakri, Johor",Johor,A127,2.0428289,102.6615577,,
吧口晋程廟,,"395, Jln Lempoyang, Taman Bukit Bakri, 84200 Bukit Bakri, Johor",Johor,A128,2.0420469,102.6621306,,
飞来洞,建于 1955 年,"24, Kampung Kenangan Dato Abdullah Jaafar, 84200 Bukit Bakri, Johor",Johor,A129,2.0426302,102.6514741,,
麻坡慧海净宗学会,,"No.5 Jalan Dato' Haji Kosai 3, Taman Dato' Haji Kosai, Jalan Bakri, Johor",Johor,A130,2.0450234,102.5969683,,
麻坡天亭堂白衣娘娘,,"Jalan Indah 13, Taman Indah, Johor, 84000 Muar town, Johor",Johor,A131,2.0554738,102.597868,,
麻坡玉封玉龙宫,,"Taman Sakeh Baru, 84000 Muar, Johor",Johor,A132,2.053784,102.5846701,,
麻坡新奇珍宴会所,,"68, Jalan Sungai Abong, Taman Sakeh Baru, 84000 Muar, Johor",Johor,A133,2.0586497,102.5785836,,
麻坡佛教净业寺,,"Jalan Sulaiman, Kampung Dato Bentara Dalam, 84000 Muar, Johor",Johor,A134,2.0392217,102.5706907,,
修德善堂,,"No. 40, Jalan Sultan Ibrahim, Pekan Muar, 84000 Muar, Johor",Johor,A135,2.0373602,102.571965,,
中水宫 Zhong Shui Gong,,"Kampung Dato Bentara Luar, 84000, Muar, Johor.",Johor,A136,2.037081,102.5749249,,
金龍寺 Kim Leng Tze,,"2700, 5, Kampung Sabak Aur, 84000 Muar, Johor",Johor,A137,2.0798955,102.5681176,,
慈云精舍-一(真法界公行),,"Jalan Sekolah, Bukit Bakri, 84250, Bukit Bakri, Johor",Johor,A138,2.0435956,102.6585334,,
麻坡天亭堂白衣娘娘,,"Jalan Indah 13, Taman Indah, Johor, 84000 Muar town, Johor",Johor,A139,2.0554738,102.597868,,
麻坡玉封玉龙宫,,"Taman Sakeh Baru, 84000 Muar, Johor",Johor,A140,2.053784,102.5846701,,
吧口福音堂 - 吧口福音堂,,"Kampung Kenangan Dato Abdullah Jaafar, 84200 Bukit Bakri, Johor",Johor,A141,2.04419,102.6517349,,
麻屬班萃善寶宮,,,Johor,A142,0,0,Yes,1
玉皇上帝廟,,,Johor,A143,0,0,,
玉皇高上帝廟,,,Johor,A144,0,0,,
城隍殿,,,Johor,A145,0,0,,
柔佛州麻坡班卒靈安殿麻坡河,,,Johor,A146,0,0,,
玉檺林宮,,"218, Jalan Poh Ai, 84700 Gerisek, Johor",Johor,A147,2.2115889,102.6575364,,
聖姑廟,,"Bukit Gambir, 84700 Bukit Gambir, Johor",Johor,A148,2.212505,102.6543938,Yes,32
天雲寺 / 永春烏鬚觀音,,"84700, Jln Sengkang, 84700 Gerisek, Johor",Johor,A149,2.2462489,102.6690262,,
侯爺符 / 天波楊門,,"Jalan Sengkang, 84700 Gerisek, Johor",Johor,A150,2.2462489,102.6690262,,
比亞南佛寺,,"Tangkak, Unnamed Road, Kampung Tanjong Batu 15, 84900 Tangkak Joh, Johor",Johor,A151,2.2554645,102.5444354,Yes,1
東甲龍福堂(LongFu Temple),,"Jln Sialang, Kampung Tanjung Batu, 84900 Tangkak, Johor",Johor,A152,2.268864,102.534583,,
福泉宫善财爷张公圣君庙,,"15, Jalan Sentosa 2, Taman Sentosa, 84900 Tangkak, Johor",Johor,A153,2.275999,102.5394925,,
大老爷(聖靈宫),此庙有 48 年历史,"Taman Sentosa, 84900 Tangkak, Johor",Johor,A154,2.272364,102.5384191,,
茧云宫,此廟有 124 年曆史/ 三聖宮,"Jalan Padang Lalang, Kampung Padang Lalang, 84900 Tangkak, Johor",Johor,A155,2.2712655,102.5450202,,
武吉港脚天后宫,,"Kampung Parit Pelampong, 84300 Sungai Mati, Johor",Johor,A156,2.171105,102.5576521,,
實廊南海觀音廟,,"Jln Serom 4 Hilir, 84400 Sungai Mati, Johor",Johor,A157,2.1658943,102.5916288,,
古灵殿,此廟建於 1967 年,"Jalan Paip, Kampung Pantai Layang, 84400 Sungai Mati, Johor",Johor,A158,2.0812318,102.5789739,,
麻坡南海飞来观音菩萨,,"104, Jalan Maharani, Taman Sri Emas, 84000 Muar, Johor",Johor,A159,2.0496819,102.5693822,,
麻坡粤东古庙,,"84000, Johor",Johor,A160,2.0359456,102.5986597,,
麻坡天春堂,此廟 80 多年,"32, Jalan Bakri, 84000 Muar, Johor",Johor,A161,2.0484219,102.5815728,,
Ching San Miao Temple 青山庙,,"107, Jalan Ismail, Sabak Awor, 84000 Muar, Johor",Johor,A162,2.0691462,102.5650693,,
黄老仙师慈天宫,,"84000 Muar, Johor",Johor,A163,2.0359456,102.5986597,,
麻坡大悲林,,"Taman Muar, 84000 Muar, Johor",Johor,A164,2.077203,102.5741221,,
新加望城隍庙,,"Taman Desa, 84000 Muar, Johor",Johor,A165,2.067003,102.5922938,Yes,7
欽巡池府王爺-大人公崎頭館,,"Jalan Ong Siong, 84900 Tangkak, Johor.",Johor,A166,2.2742655,102.5410671,,
天惠觀音堂,,"Jalan Abdul Rahman, Taman Khalidi Baru, 84000, Muar, Johor.",Johor,A167,2.037626,102.561529,,
保零殿,,"Pagoh, 84600 Pagoh, Johor",Johor,A168,2.149223,102.7721509,,
巴莪南天庙,,"Pagoh, 84600 Pagoh, Johor",Johor,A169,2.149223,102.7721509,,
麻坡巴莪老港圣明庙,,"Kampung Paya Pagoh, 84600 Pagoh, Johor",Johor,A170,2.166633,102.7579169,,
圣君殿,,"Taman Sri Pagoh, 84600 Pagoh, Johor",Johor,A171,2.1421255,102.7746619,,
巴莪南天庙,,"Pagoh, 84600 Pagoh, Johor",Johor,A172,2.149223,102.7721509,,
飛來洞,,"Jalan Balai Raya, Taman Bukit Pasir, 84300 Bukit Pasir, Johor",Johor,A173,2.0996518,102.638599,,
头条福寿宫老庙,（ 70年 老廟 ）1946 年建立,"84300 Bukit Pasir, Johor",Johor,A174,2.1013592,102.6376601,,
顺平官,,"3, Jln Kemuning 6, Taman Bukit Pasir, 84300 Bukit Pasir, Johor",Johor,A175,2.1048316,102.6391753,,
玄順殿,,"JJ13/, ,Block B, 4, Jalan Tepi 1, 84300 Bukit Pasir, Johor",Johor,A176,2.1025049,102.6375125,,
古樹宮,,,Johor,A177,0,0,,
禅清殿,,"Unnamed Road, 84000, 84000, Johor",Johor,A178,2.0538575,102.5680727,,
慧觉殿,,"Temple of Ji Gong 183, Jln Merah 8, 84000 Muar, Johor",Johor,A179,2.0674204,102.5996946,,
龍山嚴,,"Jalan Temenggong Ahmad, Taman Parit Bakar Indah, Johor, 84010 Muar",Johor,A180,2.004447,102.6046674,,
翠美古庙,,"Chinese Temple, 84150 Parit Jawa, Johor",Johor,A181,1.9509244,102.6340253,,
清水祖師,,"Chinese Temple, 84150 Parit Jawa, Johor",Johor,A182,1.9509244,102.6340253,,
"一真法界 Yap Chan Fatt Kai Temple,",,"No192 , Jalan Tapah, Skudai.",Johor,A183,1.5382064,103.6568801,,
鬼谷仙師,,"Kampung Ungku Mohsin Jalan Tampoi, Johor",Johor,A184,1.5146841,103.7374557,,
樂符宮,,"Jalan Riang 22, Taman Gembira",Johor,A185,3.0823794,101.6785917,,
