name_zh,name_en,region,address,state,old,a,b,c,d,e,f,g,h,latitude,longitude,UID,no_img
巴生加埔十一支兴化府,Klang Heng Hua Foo,巴生縣,"N0 32, Lorong Kiyai Sujak 20D, Taman Sri Wangi, 42200 Kapar, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.134417,101.3642953,,
巴生峇都勿拉南阳宫,Nan Yoong Keong Klang,巴生縣,"15, Lot 219, Kampung Batu Belah, 41050 Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0744202,101.4353344,,
白音宫,Bai Yin Gong,巴生縣,"35, Lorong Batu Nilam 6D, Bandar Bukit Tinggi, 42100 Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0053925,101.4375746,,
船头哪督,Chuan Tou Dato,巴生縣,"Jalan Harper, 41400 Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0532459,101.4421938,,
二支南山洞威灵宫,Nan Shan Dong Wei Ling Gong,巴生縣,"37, Lorong Mersing, Jalan Kapar, 41400 Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0684522,101.4339704,,
凤山寺,Hong Sun Si,巴生縣,"Lot 35544, Lorong Sentosa 3, Taman Chi Liung, Pandamaran, 42000 Pelabuhan Klang, Selangor",Perlis,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0137707,101.4276375,,
佛喃码万灵宫、万灵宫,Wan Ling Keng,巴生縣,"Lot 295 Jalan Kem, 42000 Pelabuhan Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2.9913695,101.4028783,,
福德坛,Fu De Tan,巴生縣,"Lot 11094, Batu 3 1/2, (Kedai 3) Kampung Jawa, 41000 Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0498225,101.455149,,
高阳苑中南庙,Zhong Nan Miao,巴生縣,"7, Lorong Dato Yusof Shahbudin 45A, Taman Mewah Jaya, 41200 Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0085149,101.4693323,,
汉寿亭侯关帝庙,Hon Sao Teng Hau Guan Di Temple,巴生縣,"21, Jalan 41, Kawasan 17, Off Jalan Meru, 41050 Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.017155,101.4463563,,
河边路石山哪督爷公,Shi Shan Dato Temple,巴生縣,"32A, Lintang Sungai 4 Off Jalan Tepi Sungai, 41100 Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0518907,101.4361037,,
河边路靔灵宫,Tian Leng Keng,巴生縣,"54A, Lorong Sungai 10 off Tepi Sungai, 41100 Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0515905,101.431689,,
河边路同心宫,Tong Xin Keng,巴生縣,"54A, Lorong Sungai 10 off Tepi Sungai, 41100 Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0515905,101.431689,,
河天宫,Hoh Thian Kiong,巴生縣,"Lot 3281, Batu 5 1/2, Jalan Kapar, 42100 Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0671819,101.4207975,,
加埔路八支聚宝堂,Chi Poh Tong,巴生縣,"262, Batu 8, Jalan Keratapi Lama, 42200 Kapar, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.103877,101.3659135,,
加埔路二支半大伯公坛,Da Bo Gong Tang,巴生縣,"14, Jalan Labis 105, Kawasan 19, Off Jalan Kapar, Batu 2 1/2, 41400 Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0678698,101.4365364,,
加埔路十二支三福宫,Sam Hock Temple,巴生縣,"60, Batu 12, Jalan Kapar, 42200 Kapar, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.133016,101.3760168,,
加埔路十四支天顺宫,Thian Soon Keng,巴生縣,"Batu 14, Jalan Kapar, 42200 Kapar, Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.1329455,101.3760082,,
加埔路十支茅山法祖,Maoshan Fazo Temple,巴生縣,"282, Batu 10, Jalan Keratapi Lama, 42200 Kapar, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.1413725,101.3571768,,
加埔路一支川童宫,Chung Tong Keng,巴生縣,"Batu 1 1/4, Jalan Kapar, 41400 Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0673779,101.4260961,,
崑崙坛,Kun Lun Than,巴生縣,"95, Jalan Sungai Nibong 4, Rantau Panjang, 41200 Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0653049,101.4141432,,
莲亭寺,Lean Teng Sze,巴生縣,"75, Lintang Sungai Keramat 7E, Taman Klang Utama, 41150 Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0876572,101.416495,,
良木宫,Liang Mu Kong,巴生縣,"Jalan Selampit 21, Kawasan 3, Taman Klang Jaya, 41200 Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0075518,101.4446865,,
龙和宫,Long He Kong,巴生縣,"52, Jalan Kelicap 41, Kawasan 17, Jalan Meru, 41050 Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0611141,101.4551859,,
龙礼寺,Long Lye Sye,巴生縣,"Jalan Batu Tiga, Kawasan 15, 41300 Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0498225,101.455149,,
马基督哪卓公,Makitoh Temple,巴生縣,"Jalan Harper, 41400 Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0532459,101.4421938,,
木吒宫李府二太子,Li Fu Erh Tau Tze,巴生縣,"12, Lintang Muda, Off Jalan Meru, 41050 Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0670259,101.4495289,,
南山宫,Lam Suah Keng,巴生縣,"Lot 27, Jalan 57, Off Jalan Bukit Kerayong, Pandamaran, 42000 Port Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.008215,101.418872,,
七星佛光真君坛、七星佛光坛,Qi Xing Fo Guang Zhen Jun Tan,巴生縣,"91, Jalan Dato Dagang 10, Taman Sentosa, 42000 Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0007399,101.4674584,,
