,District_Code,Name_EN,old,a,b,c,d,e,f,g,h,UID,no_img,Name_ZH,Address,District_EN,District_ZH,Main_Diety,Founding_Date,Steele,Plaque,latitude,longitude,old_2,State
114,,Na Tok Keng,False,False,False,True,False,False,False,False,False,,,圣淘沙哪督宫,"28, Lorong 20B, Taman Mujur Sentosa Klang, Selangor",,巴生,,,,,3.0058099,101.4606122,,Perlis
115,,Cheok Wu Kong,False,False,False,True,False,False,False,False,False,,,圣淘沙石壶宫,"Lot 10433, Taman Sentosa, 41200 Klang, Selangor.",,巴生,,,,,3.0039834,101.4857316,,Perlis
116,,Chiok Tao Keng,False,False,False,True,False,False,False,False,False,,,圣淘沙石头宫,"176，1st Floor, Jalan Yusof Shahbudin 1, Taman Sentosa, Klang 41200, Selangor",,巴生,,,,,3.0081784,101.4642046,,Perlis
117,,Kapar Tian Hor Kong,False,False,False,True,False,False,False,False,False,,,十五支天后宫,"Jalan Bagan Sungai Janggut, 42200 Kapar, Selangor.",,巴生,,,,,3.1730371,101.3128204,,Perlis
118,,Ma San Ling Gong,False,False,False,True,False,False,False,False,False,,,双溪槟榔二支半马山灵宫,"548, Lot 3101, Batu 2 1/2, Sungai Pinang, Jalan Kapar, 41400 Klang, Selangor.",,巴生,,,,,3.0673779,101.4260961,,Perlis
119,,Tai Ming Gong,False,False,False,True,False,False,False,False,False,,,太明宫,"Jalan Harper, 41400 Klang, Selangor",,巴生,,,,,3.0532459,101.4421938,,Perlis
120,,Klang Tian Shen Keng,False,False,False,True,False,False,False,False,False,,,天圣宫,"118, Jalan Tempinis, Off Jalan Meru, 41050 Klang, Selangor.",,巴生,,,,,3.1315469,101.4406425,,Perlis
121,,Tian Hoon Kong,False,False,False,True,False,False,False,False,False,,,天云宫,"48, Jalan Kelicap 41, Off Jalan Meru 41050 Klang, Selangor.",,巴生,,,,,3.0601019,101.4554488,,Perlis
122,,Kwan Imm Temple,False,True,False,True,False,False,False,False,False,,,五条路观音亭,"30, Jalan Raya Barat, 41000 Klang, Selangor.",,巴生,,,,,3.0395418,101.4419165,,Perlis
123,,Kai Hong Hoo,False,False,False,True,False,False,False,False,False,,,五条路开封府,"32, Jalan Raya Barat, 41100 Klang, Selangor.",,巴生,,,,,3.0395832,101.4418201,,Perlis
124,,Klang Ngoh Teck Keong,False,False,False,True,True,False,False,False,False,,,伍德宫,"20-A, Jalan Bukit Kuda, Bukit Kuda, 41300 Klang, Selangor.",,巴生,,,,,3.0529065,101.467682,,Perlis
