庙宇（名）,庙宇（英文）,地址,马来西亚华文铭刻萃编-傅吾康,马来西亚华团总名册,一庙一路网站,《走进巴生庙宇》,NUS,马校 RA,马来西亚神庙文化（已不存在）,福建会馆出版物,州
（烏魯冷岳縣）三清宫,Sam Ching Kong,"Batu 14, Jalan Tekali, Sungai Makau, 43100 Ulu Langat, Selangor",,,1，7，10,,,2,,,雪兰莪
（烏魯冷岳縣）师爷宫,Shen Sze She Yak Temple,"Lot 22, 23, Jalan Mendaling, 43000 Kajang, Selangor.",,,1，7，10,,,2,,,雪兰莪
（烏魯冷岳縣）十八村桥边拿督公,,,,,,,,1，2,,,雪兰莪
（烏魯冷岳縣）仙四师爷宫,,,9,,7,,,1，2,1，10,,雪兰莪
（烏魯冷岳縣）仙四师爷庙,Ulu Langat Sze Yah Temple,"Lot 4785, Sungai Tekali, 43100 Ulu Langat, Selangor",,,1，7，10,,,2,,,雪兰莪
（烏魯冷岳縣）镇方寺、加影镇方寺,Tin Hong Sze,,,,1，10,,,1，2,,,雪兰莪
（烏魯雪蘭莪縣）福泉庙,,,,,,,,2,1，10,,雪兰莪
（烏魯雪蘭莪縣）观音阁,,,8，9,,7,,,2,1，10,,雪兰莪
（烏魯雪蘭莪縣）观音古寺,,,,,,,,2,1，10,,雪兰莪
（烏魯雪蘭莪縣）觀音堂 - 石挪督公,,,9,,7,,,,,,雪兰莪
（烏魯雪蘭莪縣）龙邦古庙,,,,,,,,2,1，10,,雪兰莪
（烏魯雪蘭莪縣）茅山法坛,,,,,,,,2,1，10,,雪兰莪
（烏魯雪蘭莪縣）南天宫,,,,,,,,2,1，10,,雪兰莪
（烏魯雪蘭莪縣）南镇宫,,,,,,,,2,1，10,,雪兰莪
（烏魯雪蘭莪縣）蓬莱殿,,,,,,,,2,1，10,,雪兰莪
（烏魯雪蘭莪縣）仙四师爷宫,,,,,,,,2,1，10,,雪兰莪
（烏魯雪蘭莪縣）岳山古庙（岳山师爷宫）,,,,,7,,,2,1，10,,雪兰莪
（雪邦） 观音宫,,,,,,,,1，2,,,雪兰莪
（雪邦） 红花亭,,,,,,,,1，2,,,雪兰莪
（雪邦） 将军府,,,,,,,,1，2,,,雪兰莪
（雪邦） 莲花三太子庙,,,,,,,,1，2,,,雪兰莪
（雪邦） 龙山亭大伯公庙,,,,,,,,1，2,,,雪兰莪
（雪邦） 龙溪阿依淡观音宫,,,,,,,,1，2,,,雪兰莪
