Name,Notes,Address,State,UID
青雲岩,,"5, Jalan Panglima, Taman Bendahara, 85000 Segamat",Johor,A025
"1.	(聖王廟)Sheng Wang Temple ",,"11-B, Jalan Muar, Kampung Chabong, 85000Segamat, Johor",Johor,A026
昔加末大悲水九皇大帝,,"Jalan Quarry, Kampung Gubah, 85000 Segamat, Johor",Johor,A027
慈雲寺 （ 十八娘娘觀音廟）,,"Taman Orchid, 85000 Segamat District, Johor",Johor,A028
神威鎮廟,,jementah ,Johor,A029
 排海廟, 65年的歷史,"253, Jalan Abdul Hamid, Bukit Siput, 85000 Segamat, Johor           ",Johor,A030
青雲岩廟,,"11/A , Jalan Muat , Kampong Abdullah, 85000 Segamat ",Johor,A031
(聖王廟) Sheng Wang Temple ,,"11-B, Jalan Muar, Kampung Chabong, 8500 Segamat,   
",Johor,A032
揚福宮 ,,"Kampung Paya Merah, 85300 Labis, Johor",Johor,A033
柔佛州拉美士德教會紫泰閣,,"Lot 814, Off, Jalan Kenari 4, Taman Wawasan Sanilabis, Johor ",Johor,A034
善德壇行善社,,"536, Jalan Banjaran 5,Kawasan Kempas Banjaran, 81200 Johor ",Johor,A035
得教會濟賢善社,,"No : 318, Jalan Banjaran 7,Kawasan Kempas Banjaran,81200 Johor Bahru 
",Johor,A036
城隍殿 Sin Ong Tien ,,"Lot 4881, Jalan Banjaran 2, Kempas Baru, 81200, Johor Bahru.",Johor,A037
濟公廟/大爺二爺府,,"Jalan Banjaran 10, Kempas Baru, 81200,Johor ",Johor,A038
廣福廟Kempas Banjaran ,,"Jalan Banjaran 3, Kawasan Kempas Banjaran, 81200 Johor Bahru ",Johor,A039
濟公廟,,"Lot 135960,Jalan Hang Tuah 31, Taman Skudai Baru, 81300 ",Johor,A040
三神廟，天後聖母,有 52 年曆史,"Kampung Baru Pandan, 81100 Johor Bahru, Johor",Johor,A041
Sam Siang Keng 三善宮,,"55, Jalan Yahya Awal, Bandar Johor Bahru, 80100 Johor Bahru, Johor",Johor,A042
柔佛古廟,,"Lot 653, Jalan Trus, Bandar Johor Bahru, 80000 Johor Bahru",Johor,A043
淡杯天後宮,,"7, Jalan Mempelam, Kawasan Perumahan Tampoi, 81200, Johor Bahru.",Johor,A044
新山聖蓮宮 ,,"Taman Sri Tebrau, Jalan Cokmar 5 ",Johor,A045
天后宮 ,,"Jalan Keris, Sri Tebrau ",Johor,A046
善和堂,,"No 9, Jalan Tekun, Taman Maju Jaya, 80400 Johor Bahru ",Johor,A047
壹仟間大伯公廟 ,,"Jalan Persiaran Tanjung, Taman Cempaka, 81200 Johor Bahru. ",Johor,A048
南海宮 – 40年歷史 ,,"Bukit Indah, 81200 Johor Bahru ",Johor,A049
天馬道場,天道在柔佛州最大的道場(道場後面是龍華山),"Lot 4272, Jalan Perdana Selatan, Taman Bukit Perdana 2, 83000 Batu Pahat, Johor ",Johor,A050
普陀淨寺,根據這裡的一位女廟祝透露，此寺已有百年歷史了,"13, Jalan Murai, Kampung Pegawai, 83000 Batu Pahat, Johor ",Johor,A051
龍安廟,此廟有44年歷史,"23, Jalan Muar，Kampung Lubok, 83000 Batu Pahat, Johor ",Johor,A052
林氏宗祠天後宮,,"3, Jalan Fatimah, Kampung Sateh, 83000 Batu Pahat, ",Johor,A053
媽祖廟/忠義廟/ 福興宮/城隍廟,,"Parit Besar Laut, Kampung Bagan, 83000, Johor ",Johor,A054
建南寺 (太子爺公廟),此廟有 67 年歷史,"No. 402-A,, Jalan Bukit Pasir, 83000 Batu Pahat, Johor ",Johor,A055
覺慧禪院,,"Kampung Pegawai, 83000 Batu Pahat, Johor ",Johor,A056
修緣廟 Penganut Buddha Xiu Yuan,,"Kampung Beroleh, 83000 Batu Pahat, Johor ",Johor,A057
興義殿(五付大人)- 白馬顯神威,,"Jalan Muar, Semerah, 83600 Semerah, Johor ",Johor,A058
青雲寺南海觀音廟,," Batu 4, Jalan Kluang, Parit Iman, Batu Pahat ",Johor,A059
南山駕雲殿 ,,"Batu 5, Jalan Kluang, Johor, 83000 Batu Pahat ",Johor,A060
觀音亭,,"Jalan Fatimah, Kampung Pegawai, 83000 Batu Pahat, Johor. ",Johor,A061
慈航堂,此廟有 20 多年歷史,"Kampung Seri Menanti, Semerah, Batu  Pahat, 84150, Johor ",Johor,A062
麻坡紅橋復興宮,,"Semerah, 84150, Johor ",Johor,A063
玄天廟,此廟有60多年歷史,"Jalan Dato Yunus Utama, Lima Kedai, 81120 Johor Bahru, Johor ",Johor,A064
